HYPER-PARAMETERS
[25/400]  Loss_D: -2.7592 Loss_G: -1.0790, Wasserstein_dist:3.6469, vae_loss_seen:376.4792 GZSL: seen=0.3619, unseen=0.4500, h=0.4011 ZSL: unseen accuracy=0.6423
[26/400]  Loss_D: -2.6877 Loss_G: -1.6565, Wasserstein_dist:3.6893, vae_loss_seen:387.0037 GZSL: seen=0.3495, unseen=0.4760, h=0.4031 ZSL: unseen accuracy=0.6365
[27/400]  Loss_D: -2.6772 Loss_G: -1.5072, Wasserstein_dist:3.6239, vae_loss_seen:360.0383 GZSL: seen=0.3764, unseen=0.4250, h=0.3992 ZSL: unseen accuracy=0.6308
[28/400]  Loss_D: -2.5996 Loss_G: -1.4997, Wasserstein_dist:3.3958, vae_loss_seen:376.9854 GZSL: seen=0.3503, unseen=0.4712, h=0.4018 ZSL: unseen accuracy=0.6385
[29/400]  Loss_D: -2.5735 Loss_G: -1.3988, Wasserstein_dist:3.4554, vae_loss_seen:383.6919 GZSL: seen=0.3758, unseen=0.4308, h=0.4014 ZSL: unseen accuracy=0.6346
[30/400]  Loss_D: -2.8074 Loss_G: -1.8319, Wasserstein_dist:3.7990, vae_loss_seen:383.0980 GZSL: seen=0.3789, unseen=0.4288, h=0.4023 ZSL: unseen accuracy=0.6317
[31/400]  Loss_D: -2.6228 Loss_G: -1.3636, Wasserstein_dist:3.5277, vae_loss_seen:380.1114 GZSL: seen=0.3527, unseen=0.4625, h=0.4002 ZSL: unseen accuracy=0.6413
[32/400]  Loss_D: -2.2997 Loss_G: -1.4782, Wasserstein_dist:3.1934, vae_loss_seen:363.7480 GZSL: seen=0.3467, unseen=0.4683, h=0.3984 ZSL: unseen accuracy=0.6375
[33/400]  Loss_D: -2.4052 Loss_G: -1.6012, Wasserstein_dist:3.2859, vae_loss_seen:367.5519 GZSL: seen=0.3648, unseen=0.4288, h=0.3942 ZSL: unseen accuracy=0.6250
[34/400]  Loss_D: -2.5431 Loss_G: -1.4852, Wasserstein_dist:3.3769, vae_loss_seen:380.9819 GZSL: seen=0.3547, unseen=0.4606, h=0.4008 ZSL: unseen accuracy=0.6413
