HYPER-PARAMETERS
[25/400]  Loss_D: -2.4516 Loss_G: -1.1289, Wasserstein_dist:3.2234, vae_loss_seen:378.9044 GZSL: seen=0.3554, unseen=0.4500, h=0.3972 ZSL: unseen accuracy=0.6240
[26/400]  Loss_D: -2.4846 Loss_G: -2.0764, Wasserstein_dist:3.4212, vae_loss_seen:388.4927 GZSL: seen=0.3298, unseen=0.4846, h=0.3925 ZSL: unseen accuracy=0.6231
[27/400]  Loss_D: -2.3062 Loss_G: -1.4399, Wasserstein_dist:3.1211, vae_loss_seen:362.4891 GZSL: seen=0.3437, unseen=0.4673, h=0.3961 ZSL: unseen accuracy=0.6125
[28/400]  Loss_D: -2.4235 Loss_G: -1.5078, Wasserstein_dist:3.2292, vae_loss_seen:378.5889 GZSL: seen=0.3399, unseen=0.4904, h=0.4015 ZSL: unseen accuracy=0.6240
[29/400]  Loss_D: -2.2859 Loss_G: -1.4650, Wasserstein_dist:3.0659, vae_loss_seen:386.0098 GZSL: seen=0.3479, unseen=0.4644, h=0.3978 ZSL: unseen accuracy=0.6221
[30/400]  Loss_D: -2.4573 Loss_G: -1.6942, Wasserstein_dist:3.3217, vae_loss_seen:385.8315 GZSL: seen=0.3636, unseen=0.4500, h=0.4022 ZSL: unseen accuracy=0.6163
[31/400]  Loss_D: -2.3822 Loss_G: -1.4305, Wasserstein_dist:3.1596, vae_loss_seen:381.8115 GZSL: seen=0.3520, unseen=0.4894, h=0.4095 ZSL: unseen accuracy=0.6260
[32/400]  Loss_D: -2.0919 Loss_G: -1.4839, Wasserstein_dist:2.8830, vae_loss_seen:366.2647 GZSL: seen=0.3586, unseen=0.4673, h=0.4058 ZSL: unseen accuracy=0.6279
[33/400]  Loss_D: -2.1486 Loss_G: -1.6299, Wasserstein_dist:2.9105, vae_loss_seen:368.7739 GZSL: seen=0.3619, unseen=0.4481, h=0.4004 ZSL: unseen accuracy=0.6192
[34/400]  Loss_D: -2.2387 Loss_G: -1.3861, Wasserstein_dist:2.9736, vae_loss_seen:383.6355 GZSL: seen=0.3638, unseen=0.4731, h=0.4113 ZSL: unseen accuracy=0.6231
[35/400]  Loss_D: -1.9478 Loss_G: -1.3023, Wasserstein_dist:2.6549, vae_loss_seen:357.6126 GZSL: seen=0.3485, unseen=0.4760, h=0.4024 ZSL: unseen accuracy=0.6298
[36/400]  Loss_D: -2.4710 Loss_G: -1.8713, Wasserstein_dist:3.3342, vae_loss_seen:391.0099 GZSL: seen=0.3705, unseen=0.4615, h=0.4110 ZSL: unseen accuracy=0.6250
[37/400]  Loss_D: -2.0686 Loss_G: -1.1262, Wasserstein_dist:2.6693, vae_loss_seen:365.3535 GZSL: seen=0.3584, unseen=0.4875, h=0.4131 ZSL: unseen accuracy=0.6423
[38/400]  Loss_D: -2.0425 Loss_G: -1.5034, Wasserstein_dist:2.7116, vae_loss_seen:366.3317 GZSL: seen=0.3596, unseen=0.4856, h=0.4132 ZSL: unseen accuracy=0.6327
[39/400]  Loss_D: -2.0032 Loss_G: -1.6196, Wasserstein_dist:2.7716, vae_loss_seen:361.3174 GZSL: seen=0.3634, unseen=0.4894, h=0.4171 ZSL: unseen accuracy=0.6337
[40/400]  Loss_D: -2.2007 Loss_G: -1.6003, Wasserstein_dist:2.8676, vae_loss_seen:385.2434 GZSL: seen=0.3609, unseen=0.4894, h=0.4154 ZSL: unseen accuracy=0.6327
[41/400]  Loss_D: -2.0106 Loss_G: -1.3948, Wasserstein_dist:2.6533, vae_loss_seen:364.4211 GZSL: seen=0.3620, unseen=0.4817, h=0.4134 ZSL: unseen accuracy=0.6288
[42/400]  Loss_D: -2.2337 Loss_G: -1.4152, Wasserstein_dist:3.0095, vae_loss_seen:384.7789 GZSL: seen=0.3621, unseen=0.4750, h=0.4109 ZSL: unseen accuracy=0.6269
[43/400]  Loss_D: -2.1113 Loss_G: -1.6746, Wasserstein_dist:2.8901, vae_loss_seen:369.1877 GZSL: seen=0.3600, unseen=0.4846, h=0.4131 ZSL: unseen accuracy=0.6260
[44/400]  Loss_D: -2.1985 Loss_G: -1.6292, Wasserstein_dist:2.8938, vae_loss_seen:388.6863 GZSL: seen=0.3607, unseen=0.4913, h=0.4160 ZSL: unseen accuracy=0.6231
[45/400]  Loss_D: -2.0195 Loss_G: -1.8529, Wasserstein_dist:2.7779, vae_loss_seen:362.8563 GZSL: seen=0.3595, unseen=0.4933, h=0.4159 ZSL: unseen accuracy=0.6317
