HYPER-PARAMETERS
[25/400]  Loss_D: -1.6704 Loss_G: -5.1458, Wasserstein_dist:2.3078, vae_loss_seen:737.1439 GZSL: seen=0.9255, unseen=0.8654, h=0.8944 ZSL: unseen accuracy=0.9250
[26/400]  Loss_D: -1.8030 Loss_G: -5.5441, Wasserstein_dist:2.4238, vae_loss_seen:755.2951 GZSL: seen=0.9298, unseen=0.8577, h=0.8923 ZSL: unseen accuracy=0.9173
[27/400]  Loss_D: -1.5041 Loss_G: -4.7613, Wasserstein_dist:2.0049, vae_loss_seen:739.1860 GZSL: seen=0.9258, unseen=0.8644, h=0.8941 ZSL: unseen accuracy=0.9154
[28/400]  Loss_D: -1.6042 Loss_G: -5.5160, Wasserstein_dist:2.1689, vae_loss_seen:747.6491 GZSL: seen=0.9247, unseen=0.8654, h=0.8941 ZSL: unseen accuracy=0.9135
[29/400]  Loss_D: -1.7255 Loss_G: -5.0115, Wasserstein_dist:2.3570, vae_loss_seen:750.2122 GZSL: seen=0.9338, unseen=0.8567, h=0.8936 ZSL: unseen accuracy=0.9087
[30/400]  Loss_D: -1.6948 Loss_G: -6.0274, Wasserstein_dist:2.2765, vae_loss_seen:754.7596 GZSL: seen=0.9393, unseen=0.8606, h=0.8982 ZSL: unseen accuracy=0.9125
[31/400]  Loss_D: -1.7181 Loss_G: -5.1860, Wasserstein_dist:2.2311, vae_loss_seen:764.8490 GZSL: seen=0.9248, unseen=0.8740, h=0.8987 ZSL: unseen accuracy=0.9144
[32/400]  Loss_D: -1.5934 Loss_G: -5.9418, Wasserstein_dist:2.1644, vae_loss_seen:748.6335 GZSL: seen=0.9276, unseen=0.8721, h=0.8990 ZSL: unseen accuracy=0.9154
[33/400]  Loss_D: -1.5311 Loss_G: -4.6692, Wasserstein_dist:2.0823, vae_loss_seen:760.3133 GZSL: seen=0.9274, unseen=0.8760, h=0.9009 ZSL: unseen accuracy=0.9212
[34/400]  Loss_D: -1.6438 Loss_G: -4.0950, Wasserstein_dist:2.1929, vae_loss_seen:748.3639 GZSL: seen=0.9328, unseen=0.8635, h=0.8968 ZSL: unseen accuracy=0.9144
[35/400]  Loss_D: -1.5757 Loss_G: -5.1698, Wasserstein_dist:2.0743, vae_loss_seen:739.1843 GZSL: seen=0.9403, unseen=0.8750, h=0.9065 ZSL: unseen accuracy=0.9260
[36/400]  Loss_D: -1.4126 Loss_G: -4.8198, Wasserstein_dist:1.9700, vae_loss_seen:750.9202 GZSL: seen=0.9362, unseen=0.8654, h=0.8994 ZSL: unseen accuracy=0.9231
[37/400]  Loss_D: -1.4238 Loss_G: -4.8536, Wasserstein_dist:1.9635, vae_loss_seen:747.7886 GZSL: seen=0.9234, unseen=0.8740, h=0.8980 ZSL: unseen accuracy=0.9279
[38/400]  Loss_D: -1.7258 Loss_G: -6.4079, Wasserstein_dist:2.3360, vae_loss_seen:741.5277 GZSL: seen=0.9414, unseen=0.8683, h=0.9034 ZSL: unseen accuracy=0.9231
[39/400]  Loss_D: -1.5768 Loss_G: -5.4727, Wasserstein_dist:2.1342, vae_loss_seen:746.0942 GZSL: seen=0.9422, unseen=0.8654, h=0.9021 ZSL: unseen accuracy=0.9183
[40/400]  Loss_D: -1.4832 Loss_G: -3.5664, Wasserstein_dist:2.0042, vae_loss_seen:746.0697 GZSL: seen=0.9346, unseen=0.8721, h=0.9023 ZSL: unseen accuracy=0.9135
[41/400]  Loss_D: -1.4782 Loss_G: -5.7980, Wasserstein_dist:1.9602, vae_loss_seen:754.9851 GZSL: seen=0.9353, unseen=0.8712, h=0.9021 ZSL: unseen accuracy=0.9144
[42/400]  Loss_D: -1.4832 Loss_G: -5.0427, Wasserstein_dist:2.0427, vae_loss_seen:745.5805 GZSL: seen=0.9372, unseen=0.8644, h=0.8993 ZSL: unseen accuracy=0.9221
