HYPER-PARAMETERS
[25/400]  Loss_D: -2.8121 Loss_G: -1.2072, Wasserstein_dist:3.6832, vae_loss_seen:373.1518 GZSL: seen=0.3399, unseen=0.4635, h=0.3922 ZSL: unseen accuracy=0.6308
[26/400]  Loss_D: -2.3808 Loss_G: -1.3121, Wasserstein_dist:3.1699, vae_loss_seen:353.4741 GZSL: seen=0.3378, unseen=0.4731, h=0.3942 ZSL: unseen accuracy=0.6288
[27/400]  Loss_D: -2.5270 Loss_G: -1.2013, Wasserstein_dist:3.3897, vae_loss_seen:366.1803 GZSL: seen=0.3581, unseen=0.4481, h=0.3981 ZSL: unseen accuracy=0.6365
[28/400]  Loss_D: -2.6613 Loss_G: -1.4826, Wasserstein_dist:3.5871, vae_loss_seen:374.3297 GZSL: seen=0.3689, unseen=0.4404, h=0.4015 ZSL: unseen accuracy=0.6385
[29/400]  Loss_D: -2.5434 Loss_G: -1.4848, Wasserstein_dist:3.4410, vae_loss_seen:381.4599 GZSL: seen=0.3705, unseen=0.4452, h=0.4044 ZSL: unseen accuracy=0.6356
[30/400]  Loss_D: -2.4438 Loss_G: -1.3790, Wasserstein_dist:3.2317, vae_loss_seen:368.4078 GZSL: seen=0.3690, unseen=0.4337, h=0.3987 ZSL: unseen accuracy=0.6337
[31/400]  Loss_D: -2.5824 Loss_G: -1.4295, Wasserstein_dist:3.3714, vae_loss_seen:373.3469 GZSL: seen=0.3698, unseen=0.4337, h=0.3992 ZSL: unseen accuracy=0.6337
[32/400]  Loss_D: -2.5854 Loss_G: -1.5916, Wasserstein_dist:3.4125, vae_loss_seen:374.1790 GZSL: seen=0.3522, unseen=0.4663, h=0.4013 ZSL: unseen accuracy=0.6365
[33/400]  Loss_D: -2.4184 Loss_G: -1.6695, Wasserstein_dist:3.2103, vae_loss_seen:364.8534 GZSL: seen=0.3439, unseen=0.4779, h=0.4000 ZSL: unseen accuracy=0.6442
[34/400]  Loss_D: -2.5101 Loss_G: -1.3070, Wasserstein_dist:3.3326, vae_loss_seen:383.3941 GZSL: seen=0.3679, unseen=0.4500, h=0.4048 ZSL: unseen accuracy=0.6394
[35/400]  Loss_D: -2.3747 Loss_G: -1.6060, Wasserstein_dist:3.1449, vae_loss_seen:369.6313 GZSL: seen=0.3562, unseen=0.4548, h=0.3995 ZSL: unseen accuracy=0.6317
[36/400]  Loss_D: -2.6454 Loss_G: -1.7405, Wasserstein_dist:3.5292, vae_loss_seen:377.8892 GZSL: seen=0.3754, unseen=0.4337, h=0.4025 ZSL: unseen accuracy=0.6423
[37/400]  Loss_D: -2.5321 Loss_G: -1.6362, Wasserstein_dist:3.4302, vae_loss_seen:366.5817 GZSL: seen=0.3680, unseen=0.4404, h=0.4009 ZSL: unseen accuracy=0.6365
[38/400]  Loss_D: -2.3771 Loss_G: -1.6729, Wasserstein_dist:3.1336, vae_loss_seen:362.5911 GZSL: seen=0.3676, unseen=0.4529, h=0.4058 ZSL: unseen accuracy=0.6327
[39/400]  Loss_D: -2.3053 Loss_G: -1.4582, Wasserstein_dist:3.1941, vae_loss_seen:365.9336 GZSL: seen=0.3409, unseen=0.4846, h=0.4003 ZSL: unseen accuracy=0.6462
[40/400]  Loss_D: -2.3019 Loss_G: -1.6866, Wasserstein_dist:3.1194, vae_loss_seen:368.2834 GZSL: seen=0.3638, unseen=0.4500, h=0.4023 ZSL: unseen accuracy=0.6269
[41/400]  Loss_D: -2.4420 Loss_G: -1.5869, Wasserstein_dist:3.2071, vae_loss_seen:380.3602 GZSL: seen=0.3718, unseen=0.4481, h=0.4064 ZSL: unseen accuracy=0.6500
