HYPER-PARAMETERS
[25/400]  Loss_D: -1.7253 Loss_G: -4.3053, Wasserstein_dist:2.2523, vae_loss_seen:744.8155 GZSL: seen=0.9255, unseen=0.8538, h=0.8882 ZSL: unseen accuracy=0.9144
[26/400]  Loss_D: -1.5183 Loss_G: -5.9100, Wasserstein_dist:2.1393, vae_loss_seen:749.5555 GZSL: seen=0.9187, unseen=0.8567, h=0.8866 ZSL: unseen accuracy=0.9096
[27/400]  Loss_D: -1.8852 Loss_G: -5.6256, Wasserstein_dist:2.4822, vae_loss_seen:763.5912 GZSL: seen=0.9131, unseen=0.8750, h=0.8936 ZSL: unseen accuracy=0.9154
[28/400]  Loss_D: -1.5060 Loss_G: -4.9339, Wasserstein_dist:1.9882, vae_loss_seen:755.7032 GZSL: seen=0.9296, unseen=0.8529, h=0.8896 ZSL: unseen accuracy=0.9135
[29/400]  Loss_D: -1.5796 Loss_G: -5.7852, Wasserstein_dist:2.1282, vae_loss_seen:744.8872 GZSL: seen=0.9291, unseen=0.8606, h=0.8935 ZSL: unseen accuracy=0.9106
[30/400]  Loss_D: -1.6151 Loss_G: -5.3952, Wasserstein_dist:2.1780, vae_loss_seen:739.8322 GZSL: seen=0.9230, unseen=0.8606, h=0.8907 ZSL: unseen accuracy=0.9106
[31/400]  Loss_D: -1.5964 Loss_G: -4.4846, Wasserstein_dist:2.0747, vae_loss_seen:747.5933 GZSL: seen=0.9301, unseen=0.8625, h=0.8950 ZSL: unseen accuracy=0.9115
[32/400]  Loss_D: -1.6735 Loss_G: -5.5848, Wasserstein_dist:2.3019, vae_loss_seen:752.4628 GZSL: seen=0.9343, unseen=0.8481, h=0.8891 ZSL: unseen accuracy=0.9135
[33/400]  Loss_D: -1.6252 Loss_G: -4.0059, Wasserstein_dist:2.2433, vae_loss_seen:742.5400 GZSL: seen=0.9423, unseen=0.8452, h=0.8911 ZSL: unseen accuracy=0.9173
[34/400]  Loss_D: -1.7586 Loss_G: -7.3153, Wasserstein_dist:2.3994, vae_loss_seen:739.1075 GZSL: seen=0.9230, unseen=0.8692, h=0.8953 ZSL: unseen accuracy=0.9192
[35/400]  Loss_D: -1.6868 Loss_G: -5.2264, Wasserstein_dist:2.2940, vae_loss_seen:745.6315 GZSL: seen=0.9381, unseen=0.8625, h=0.8987 ZSL: unseen accuracy=0.9192
[36/400]  Loss_D: -1.5809 Loss_G: -5.0785, Wasserstein_dist:2.0729, vae_loss_seen:745.4200 GZSL: seen=0.9268, unseen=0.8731, h=0.8992 ZSL: unseen accuracy=0.9212
[37/400]  Loss_D: -1.4573 Loss_G: -5.9647, Wasserstein_dist:1.9651, vae_loss_seen:736.2468 GZSL: seen=0.9218, unseen=0.8769, h=0.8988 ZSL: unseen accuracy=0.9202
[38/400]  Loss_D: -1.4950 Loss_G: -4.9260, Wasserstein_dist:2.0062, vae_loss_seen:756.6966 GZSL: seen=0.9217, unseen=0.8740, h=0.8973 ZSL: unseen accuracy=0.9163
[39/400]  Loss_D: -1.6592 Loss_G: -4.1283, Wasserstein_dist:2.2161, vae_loss_seen:753.2266 GZSL: seen=0.9413, unseen=0.8596, h=0.8986 ZSL: unseen accuracy=0.9240
[40/400]  Loss_D: -1.7016 Loss_G: -5.7665, Wasserstein_dist:2.2182, vae_loss_seen:759.0433 GZSL: seen=0.9314, unseen=0.8760, h=0.9028 ZSL: unseen accuracy=0.9212
[41/400]  Loss_D: -1.6199 Loss_G: -4.7426, Wasserstein_dist:2.1605, vae_loss_seen:756.3256 GZSL: seen=0.9395, unseen=0.8683, h=0.9025 ZSL: unseen accuracy=0.9250
[42/400]  Loss_D: -1.3699 Loss_G: -4.0334, Wasserstein_dist:1.8723, vae_loss_seen:742.7481 GZSL: seen=0.9418, unseen=0.8615, h=0.8999 ZSL: unseen accuracy=0.9240
[43/400]  Loss_D: -1.6654 Loss_G: -5.1629, Wasserstein_dist:2.1832, vae_loss_seen:737.9280 GZSL: seen=0.9305, unseen=0.8721, h=0.9004 ZSL: unseen accuracy=0.9231
[44/400]  Loss_D: -1.6374 Loss_G: -4.5370, Wasserstein_dist:2.2010, vae_loss_seen:758.4599 GZSL: seen=0.9458, unseen=0.8567, h=0.8991 ZSL: unseen accuracy=0.9183
