HYPER-PARAMETERS
[25/400]  Loss_D: -2.7903 Loss_G: -1.0856, Wasserstein_dist:3.6864, vae_loss_seen:376.6540 GZSL: seen=0.3439, unseen=0.4644, h=0.3952 ZSL: unseen accuracy=0.6385
[26/400]  Loss_D: -2.7087 Loss_G: -1.7217, Wasserstein_dist:3.7096, vae_loss_seen:387.1023 GZSL: seen=0.3458, unseen=0.4875, h=0.4046 ZSL: unseen accuracy=0.6365
[27/400]  Loss_D: -2.6776 Loss_G: -1.4029, Wasserstein_dist:3.6229, vae_loss_seen:360.4005 GZSL: seen=0.3742, unseen=0.4279, h=0.3993 ZSL: unseen accuracy=0.6327
[28/400]  Loss_D: -2.5773 Loss_G: -1.4681, Wasserstein_dist:3.3738, vae_loss_seen:376.9659 GZSL: seen=0.3653, unseen=0.4519, h=0.4040 ZSL: unseen accuracy=0.6404
[29/400]  Loss_D: -2.5835 Loss_G: -1.3521, Wasserstein_dist:3.4705, vae_loss_seen:383.8342 GZSL: seen=0.3486, unseen=0.4577, h=0.3958 ZSL: unseen accuracy=0.6308
[30/400]  Loss_D: -2.7215 Loss_G: -1.6728, Wasserstein_dist:3.6271, vae_loss_seen:383.6744 GZSL: seen=0.3382, unseen=0.5115, h=0.4072 ZSL: unseen accuracy=0.6375
[31/400]  Loss_D: -2.5445 Loss_G: -1.3427, Wasserstein_dist:3.3671, vae_loss_seen:380.1908 GZSL: seen=0.3437, unseen=0.4788, h=0.4001 ZSL: unseen accuracy=0.6452
[32/400]  Loss_D: -2.2539 Loss_G: -1.3135, Wasserstein_dist:3.0538, vae_loss_seen:364.1794 GZSL: seen=0.3497, unseen=0.4663, h=0.3997 ZSL: unseen accuracy=0.6346
[33/400]  Loss_D: -2.4839 Loss_G: -1.6580, Wasserstein_dist:3.4153, vae_loss_seen:367.4584 GZSL: seen=0.3642, unseen=0.4404, h=0.3987 ZSL: unseen accuracy=0.6279
[34/400]  Loss_D: -2.6490 Loss_G: -1.5412, Wasserstein_dist:3.5675, vae_loss_seen:382.0448 GZSL: seen=0.3409, unseen=0.4875, h=0.4012 ZSL: unseen accuracy=0.6452
[35/400]  Loss_D: -2.1771 Loss_G: -1.1660, Wasserstein_dist:2.9581, vae_loss_seen:355.1783 GZSL: seen=0.3766, unseen=0.4288, h=0.4010 ZSL: unseen accuracy=0.6433
[36/400]  Loss_D: -2.6755 Loss_G: -1.9385, Wasserstein_dist:3.5943, vae_loss_seen:387.9628 GZSL: seen=0.3622, unseen=0.4452, h=0.3994 ZSL: unseen accuracy=0.6510
[37/400]  Loss_D: -2.3728 Loss_G: -1.2393, Wasserstein_dist:3.1521, vae_loss_seen:362.2066 GZSL: seen=0.3619, unseen=0.4683, h=0.4083 ZSL: unseen accuracy=0.6519
