HYPER-PARAMETERS
[25/500]  Loss_D: -57.5493 Loss_G: -8.9857, Wasserstein_dist:75.3758, vae_loss_seen:736.6741 GZSL: seen=0.9464, unseen=0.5915, h=0.7280 ZSL: unseen accuracy=0.6555
[26/500]  Loss_D: -56.3972 Loss_G: -9.6767, Wasserstein_dist:71.3350, vae_loss_seen:719.9158 GZSL: seen=0.9384, unseen=0.5886, h=0.7235 ZSL: unseen accuracy=0.6656
[27/500]  Loss_D: -50.7016 Loss_G: -9.8211, Wasserstein_dist:66.5150, vae_loss_seen:717.0249 GZSL: seen=0.8810, unseen=0.6055, h=0.7177 ZSL: unseen accuracy=0.6291
[28/500]  Loss_D: -50.4083 Loss_G: -10.8163, Wasserstein_dist:67.5380, vae_loss_seen:719.1871 GZSL: seen=0.8847, unseen=0.6224, h=0.7308 ZSL: unseen accuracy=0.6354
[29/500]  Loss_D: -51.1545 Loss_G: -9.9895, Wasserstein_dist:68.5492, vae_loss_seen:725.5750 GZSL: seen=0.9362, unseen=0.5925, h=0.7257 ZSL: unseen accuracy=0.6365
[30/500]  Loss_D: -55.5527 Loss_G: -10.9632, Wasserstein_dist:71.6065, vae_loss_seen:716.9511 GZSL: seen=0.9302, unseen=0.5937, h=0.7248 ZSL: unseen accuracy=0.6180
[31/500]  Loss_D: -48.9214 Loss_G: -11.1758, Wasserstein_dist:64.2836, vae_loss_seen:694.5419 GZSL: seen=0.9404, unseen=0.5980, h=0.7311 ZSL: unseen accuracy=0.6242
[32/500]  Loss_D: -58.3556 Loss_G: -10.9312, Wasserstein_dist:70.7756, vae_loss_seen:695.8831 GZSL: seen=0.8732, unseen=0.6019, h=0.7126 ZSL: unseen accuracy=0.6225
[33/500]  Loss_D: -55.8480 Loss_G: -10.2362, Wasserstein_dist:70.7434, vae_loss_seen:726.1140 GZSL: seen=0.9392, unseen=0.5958, h=0.7291 ZSL: unseen accuracy=0.6244
[34/500]  Loss_D: -59.8865 Loss_G: -11.5002, Wasserstein_dist:76.9388, vae_loss_seen:702.5146 GZSL: seen=0.9382, unseen=0.5784, h=0.7156 ZSL: unseen accuracy=0.6373
[35/500]  Loss_D: -55.1649 Loss_G: -11.4849, Wasserstein_dist:69.7964, vae_loss_seen:685.4611 GZSL: seen=0.9398, unseen=0.5908, h=0.7255 ZSL: unseen accuracy=0.6147
[36/500]  Loss_D: -51.0216 Loss_G: -12.6430, Wasserstein_dist:65.7475, vae_loss_seen:663.4326 GZSL: seen=0.8819, unseen=0.6044, h=0.7173 ZSL: unseen accuracy=0.6086
[37/500]  Loss_D: -44.1493 Loss_G: -11.5917, Wasserstein_dist:60.0048, vae_loss_seen:690.1446 GZSL: seen=0.9568, unseen=0.5972, h=0.7353 ZSL: unseen accuracy=0.6206
[38/500]  Loss_D: -48.9745 Loss_G: -11.8854, Wasserstein_dist:62.5153, vae_loss_seen:703.3640 GZSL: seen=0.9591, unseen=0.5903, h=0.7308 ZSL: unseen accuracy=0.6419
[39/500]  Loss_D: -56.3543 Loss_G: -12.9284, Wasserstein_dist:70.6872, vae_loss_seen:686.1419 GZSL: seen=0.9486, unseen=0.6072, h=0.7404 ZSL: unseen accuracy=0.6326
[40/500]  Loss_D: -45.1175 Loss_G: -12.8102, Wasserstein_dist:62.5984, vae_loss_seen:676.4589 GZSL: seen=0.9422, unseen=0.6058, h=0.7374 ZSL: unseen accuracy=0.6396
[41/500]  Loss_D: -49.0447 Loss_G: -13.4162, Wasserstein_dist:69.0755, vae_loss_seen:663.5778 GZSL: seen=0.8872, unseen=0.6245, h=0.7330 ZSL: unseen accuracy=0.6263
[42/500]  Loss_D: -46.9369 Loss_G: -13.3259, Wasserstein_dist:63.8129, vae_loss_seen:665.4832 GZSL: seen=0.9398, unseen=0.6122, h=0.7414 ZSL: unseen accuracy=0.6335
[43/500]  Loss_D: -43.5481 Loss_G: -12.7692, Wasserstein_dist:59.3816, vae_loss_seen:682.4707 GZSL: seen=0.9400, unseen=0.6147, h=0.7433 ZSL: unseen accuracy=0.6498
[44/500]  Loss_D: -52.3426 Loss_G: -13.7344, Wasserstein_dist:71.2599, vae_loss_seen:692.3273 GZSL: seen=0.9661, unseen=0.5923, h=0.7344 ZSL: unseen accuracy=0.6413
[45/500]  Loss_D: -43.3261 Loss_G: -13.4382, Wasserstein_dist:62.1190, vae_loss_seen:667.4385 GZSL: seen=0.9463, unseen=0.6047, h=0.7379 ZSL: unseen accuracy=0.6400
[46/500]  Loss_D: -46.5314 Loss_G: -12.7428, Wasserstein_dist:60.0765, vae_loss_seen:685.7166 GZSL: seen=0.8826, unseen=0.6198, h=0.7282 ZSL: unseen accuracy=0.6349
[47/500]  Loss_D: -45.9016 Loss_G: -15.1484, Wasserstein_dist:62.6114, vae_loss_seen:664.3286 GZSL: seen=0.9618, unseen=0.6073, h=0.7445 ZSL: unseen accuracy=0.6497
[48/500]  Loss_D: -42.7779 Loss_G: -14.1941, Wasserstein_dist:59.4991, vae_loss_seen:679.7604 GZSL: seen=0.8968, unseen=0.6370, h=0.7449 ZSL: unseen accuracy=0.6450
[49/500]  Loss_D: -38.9609 Loss_G: -14.8786, Wasserstein_dist:52.6607, vae_loss_seen:665.0421 GZSL: seen=0.9469, unseen=0.6191, h=0.7487 ZSL: unseen accuracy=0.6438
[50/500]  Loss_D: -45.7211 Loss_G: -14.9579, Wasserstein_dist:60.1979, vae_loss_seen:668.2385 GZSL: seen=0.9480, unseen=0.6129, h=0.7445 ZSL: unseen accuracy=0.6601
[51/500]  Loss_D: -44.9722 Loss_G: -14.1054, Wasserstein_dist:62.2749, vae_loss_seen:674.3057 GZSL: seen=0.9506, unseen=0.6176, h=0.7487 ZSL: unseen accuracy=0.6524
