HYPER-PARAMETERS
[25/500]  Loss_D: -27.4913 Loss_G: -2.3906, Wasserstein_dist:38.0061, vae_loss_seen:388.2078 GZSL: seen=0.7883, unseen=0.4562, h=0.5779 ZSL: unseen accuracy=0.5146
[26/500]  Loss_D: -25.5277 Loss_G: -2.3239, Wasserstein_dist:34.0095, vae_loss_seen:367.0129 GZSL: seen=0.7880, unseen=0.4621, h=0.5826 ZSL: unseen accuracy=0.5013
[27/500]  Loss_D: -27.5953 Loss_G: -2.4413, Wasserstein_dist:36.7878, vae_loss_seen:392.6568 GZSL: seen=0.7879, unseen=0.4737, h=0.5917 ZSL: unseen accuracy=0.5231
[28/500]  Loss_D: -28.2256 Loss_G: -2.6372, Wasserstein_dist:36.5808, vae_loss_seen:394.7325 GZSL: seen=0.7555, unseen=0.4850, h=0.5908 ZSL: unseen accuracy=0.5245
[29/500]  Loss_D: -24.4238 Loss_G: -2.7533, Wasserstein_dist:32.7038, vae_loss_seen:373.6990 GZSL: seen=0.8223, unseen=0.4542, h=0.5851 ZSL: unseen accuracy=0.5122
[30/500]  Loss_D: -25.9727 Loss_G: -3.0232, Wasserstein_dist:34.7324, vae_loss_seen:378.0587 GZSL: seen=0.7563, unseen=0.4797, h=0.5871 ZSL: unseen accuracy=0.5221
[31/500]  Loss_D: -27.0599 Loss_G: -3.1233, Wasserstein_dist:34.8572, vae_loss_seen:365.5929 GZSL: seen=0.7790, unseen=0.4842, h=0.5972 ZSL: unseen accuracy=0.5234
[32/500]  Loss_D: -25.3521 Loss_G: -3.0442, Wasserstein_dist:33.3448, vae_loss_seen:378.0627 GZSL: seen=0.7858, unseen=0.4767, h=0.5934 ZSL: unseen accuracy=0.5197
[33/500]  Loss_D: -24.4926 Loss_G: -3.2700, Wasserstein_dist:33.6520, vae_loss_seen:378.4015 GZSL: seen=0.8320, unseen=0.4837, h=0.6118 ZSL: unseen accuracy=0.5467
[34/500]  Loss_D: -27.5500 Loss_G: -3.3458, Wasserstein_dist:35.3367, vae_loss_seen:377.4251 GZSL: seen=0.8076, unseen=0.4895, h=0.6096 ZSL: unseen accuracy=0.5346
[35/500]  Loss_D: -25.4168 Loss_G: -3.7675, Wasserstein_dist:33.0866, vae_loss_seen:374.1825 GZSL: seen=0.8253, unseen=0.4897, h=0.6147 ZSL: unseen accuracy=0.5465
[36/500]  Loss_D: -25.4210 Loss_G: -3.4537, Wasserstein_dist:32.6569, vae_loss_seen:374.8352 GZSL: seen=0.7861, unseen=0.5046, h=0.6146 ZSL: unseen accuracy=0.5496
[37/500]  Loss_D: -23.7503 Loss_G: -3.5650, Wasserstein_dist:32.1124, vae_loss_seen:368.8317 GZSL: seen=0.8119, unseen=0.4971, h=0.6166 ZSL: unseen accuracy=0.5453
[38/500]  Loss_D: -26.0441 Loss_G: -3.8483, Wasserstein_dist:34.6292, vae_loss_seen:366.2977 GZSL: seen=0.8315, unseen=0.4827, h=0.6108 ZSL: unseen accuracy=0.5535
[39/500]  Loss_D: -23.4480 Loss_G: -3.9977, Wasserstein_dist:32.3464, vae_loss_seen:354.0501 GZSL: seen=0.8331, unseen=0.4930, h=0.6194 ZSL: unseen accuracy=0.5637
[40/500]  Loss_D: -26.3405 Loss_G: -4.0336, Wasserstein_dist:34.8653, vae_loss_seen:372.1371 GZSL: seen=0.8478, unseen=0.4928, h=0.6233 ZSL: unseen accuracy=0.5591
[41/500]  Loss_D: -28.1908 Loss_G: -3.8392, Wasserstein_dist:36.9273, vae_loss_seen:377.1996 GZSL: seen=0.8200, unseen=0.5069, h=0.6265 ZSL: unseen accuracy=0.5661
[42/500]  Loss_D: -26.6570 Loss_G: -4.2939, Wasserstein_dist:36.7635, vae_loss_seen:375.0045 GZSL: seen=0.8266, unseen=0.5161, h=0.6354 ZSL: unseen accuracy=0.5671
[43/500]  Loss_D: -22.3243 Loss_G: -3.9329, Wasserstein_dist:31.0811, vae_loss_seen:356.2876 GZSL: seen=0.8610, unseen=0.4966, h=0.6299 ZSL: unseen accuracy=0.5552
[44/500]  Loss_D: -30.8628 Loss_G: -4.2799, Wasserstein_dist:39.5462, vae_loss_seen:374.7823 GZSL: seen=0.8180, unseen=0.5052, h=0.6247 ZSL: unseen accuracy=0.5703
[45/500]  Loss_D: -28.7526 Loss_G: -4.2726, Wasserstein_dist:36.9811, vae_loss_seen:371.3216 GZSL: seen=0.8416, unseen=0.5071, h=0.6328 ZSL: unseen accuracy=0.5704
[46/500]  Loss_D: -25.1135 Loss_G: -4.3190, Wasserstein_dist:34.2585, vae_loss_seen:364.6400 GZSL: seen=0.8254, unseen=0.5166, h=0.6354 ZSL: unseen accuracy=0.5581
[47/500]  Loss_D: -24.6193 Loss_G: -3.9889, Wasserstein_dist:32.3448, vae_loss_seen:353.3370 GZSL: seen=0.8501, unseen=0.4961, h=0.6266 ZSL: unseen accuracy=0.5621
[48/500]  Loss_D: -25.4399 Loss_G: -4.1723, Wasserstein_dist:33.0798, vae_loss_seen:370.5954 GZSL: seen=0.8300, unseen=0.5336, h=0.6496 ZSL: unseen accuracy=0.5749
[49/500]  Loss_D: -24.6089 Loss_G: -4.2556, Wasserstein_dist:33.1713, vae_loss_seen:363.5859 GZSL: seen=0.8564, unseen=0.5125, h=0.6412 ZSL: unseen accuracy=0.5696
[50/500]  Loss_D: -25.8779 Loss_G: -4.3915, Wasserstein_dist:33.2053, vae_loss_seen:352.6925 GZSL: seen=0.8346, unseen=0.5182, h=0.6394 ZSL: unseen accuracy=0.5728
[51/500]  Loss_D: -24.9801 Loss_G: -4.1445, Wasserstein_dist:33.1895, vae_loss_seen:358.6229 GZSL: seen=0.8216, unseen=0.5259, h=0.6413 ZSL: unseen accuracy=0.5733
[52/500]  Loss_D: -25.1108 Loss_G: -4.2016, Wasserstein_dist:34.1142, vae_loss_seen:376.7587 GZSL: seen=0.8100, unseen=0.5350, h=0.6444 ZSL: unseen accuracy=0.5737
[53/500]  Loss_D: -27.1819 Loss_G: -4.1833, Wasserstein_dist:35.2669, vae_loss_seen:350.4800 GZSL: seen=0.8490, unseen=0.5118, h=0.6386 ZSL: unseen accuracy=0.5771
[54/500]  Loss_D: -25.6239 Loss_G: -4.0404, Wasserstein_dist:33.7815, vae_loss_seen:368.6977 GZSL: seen=0.8232, unseen=0.5245, h=0.6408 ZSL: unseen accuracy=0.5675
[55/500]  Loss_D: -23.8693 Loss_G: -4.1999, Wasserstein_dist:31.2049, vae_loss_seen:357.2488 GZSL: seen=0.8056, unseen=0.5391, h=0.6459 ZSL: unseen accuracy=0.5702
[56/500]  Loss_D: -24.2712 Loss_G: -4.0591, Wasserstein_dist:33.6173, vae_loss_seen:366.4481 GZSL: seen=0.8426, unseen=0.5406, h=0.6586 ZSL: unseen accuracy=0.5956
[57/500]  Loss_D: -22.3403 Loss_G: -4.2241, Wasserstein_dist:31.5215, vae_loss_seen:368.6098 GZSL: seen=0.8411, unseen=0.5168, h=0.6402 ZSL: unseen accuracy=0.5657
[58/500]  Loss_D: -27.7876 Loss_G: -4.2123, Wasserstein_dist:35.7663, vae_loss_seen:380.6408 GZSL: seen=0.8259, unseen=0.5255, h=0.6423 ZSL: unseen accuracy=0.5663
[59/500]  Loss_D: -22.4377 Loss_G: -4.0748, Wasserstein_dist:30.2345, vae_loss_seen:355.6050 GZSL: seen=0.8650, unseen=0.5139, h=0.6447 ZSL: unseen accuracy=0.5857
[60/500]  Loss_D: -27.9496 Loss_G: -4.3975, Wasserstein_dist:36.2403, vae_loss_seen:374.8701 GZSL: seen=0.8257, unseen=0.5314, h=0.6467 ZSL: unseen accuracy=0.5628
[61/500]  Loss_D: -28.4089 Loss_G: -3.9887, Wasserstein_dist:37.0152, vae_loss_seen:381.2132 GZSL: seen=0.8261, unseen=0.5207, h=0.6388 ZSL: unseen accuracy=0.5691
[62/500]  Loss_D: -23.5169 Loss_G: -3.8336, Wasserstein_dist:31.9326, vae_loss_seen:370.4519 GZSL: seen=0.8505, unseen=0.5306, h=0.6535 ZSL: unseen accuracy=0.5855
[63/500]  Loss_D: -24.2309 Loss_G: -4.0227, Wasserstein_dist:32.9948, vae_loss_seen:373.6310 GZSL: seen=0.8459, unseen=0.5347, h=0.6552 ZSL: unseen accuracy=0.5890
[64/500]  Loss_D: -23.5286 Loss_G: -4.0693, Wasserstein_dist:31.1810, vae_loss_seen:362.6462 GZSL: seen=0.8453, unseen=0.5165, h=0.6412 ZSL: unseen accuracy=0.5704
[65/500]  Loss_D: -26.7586 Loss_G: -3.8782, Wasserstein_dist:34.3310, vae_loss_seen:363.3185 GZSL: seen=0.8543, unseen=0.5221, h=0.6481 ZSL: unseen accuracy=0.5826
[66/500]  Loss_D: -23.7015 Loss_G: -3.8771, Wasserstein_dist:32.1519, vae_loss_seen:381.1565 GZSL: seen=0.8054, unseen=0.5551, h=0.6573 ZSL: unseen accuracy=0.5913
[67/500]  Loss_D: -25.1791 Loss_G: -3.8602, Wasserstein_dist:32.9840, vae_loss_seen:373.3484 GZSL: seen=0.8573, unseen=0.5295, h=0.6546 ZSL: unseen accuracy=0.5932
[68/500]  Loss_D: -23.8639 Loss_G: -3.5942, Wasserstein_dist:31.3819, vae_loss_seen:352.5640 GZSL: seen=0.8558, unseen=0.5307, h=0.6551 ZSL: unseen accuracy=0.5867
[69/500]  Loss_D: -28.1023 Loss_G: -4.0141, Wasserstein_dist:35.1809, vae_loss_seen:369.6087 GZSL: seen=0.8615, unseen=0.5163, h=0.6457 ZSL: unseen accuracy=0.5783
[70/500]  Loss_D: -21.0022 Loss_G: -3.8517, Wasserstein_dist:28.8055, vae_loss_seen:357.3692 GZSL: seen=0.8054, unseen=0.5550, h=0.6571 ZSL: unseen accuracy=0.5822
[71/500]  Loss_D: -24.7083 Loss_G: -4.1865, Wasserstein_dist:33.2857, vae_loss_seen:373.6345 GZSL: seen=0.8395, unseen=0.5317, h=0.6511 ZSL: unseen accuracy=0.5772
