HYPER-PARAMETERS
[25/500]  Loss_D: -49.4034 Loss_G: -10.0192, Wasserstein_dist:68.9270, vae_loss_seen:723.3817 GZSL: seen=0.9399, unseen=0.5615, h=0.7030 ZSL: unseen accuracy=0.6288
[26/500]  Loss_D: -50.8811 Loss_G: -9.0976, Wasserstein_dist:68.9932, vae_loss_seen:733.8910 GZSL: seen=0.9348, unseen=0.5933, h=0.7259 ZSL: unseen accuracy=0.6522
[27/500]  Loss_D: -46.7881 Loss_G: -9.8926, Wasserstein_dist:63.2397, vae_loss_seen:718.7235 GZSL: seen=0.8939, unseen=0.5912, h=0.7117 ZSL: unseen accuracy=0.6393
[28/500]  Loss_D: -52.3247 Loss_G: -9.1555, Wasserstein_dist:66.0332, vae_loss_seen:748.4526 GZSL: seen=0.9403, unseen=0.5786, h=0.7164 ZSL: unseen accuracy=0.6426
[29/500]  Loss_D: -55.0061 Loss_G: -10.7089, Wasserstein_dist:71.4716, vae_loss_seen:710.6958 GZSL: seen=0.8900, unseen=0.6199, h=0.7308 ZSL: unseen accuracy=0.6526
[30/500]  Loss_D: -48.6169 Loss_G: -11.0009, Wasserstein_dist:66.9863, vae_loss_seen:714.8406 GZSL: seen=0.9566, unseen=0.5762, h=0.7192 ZSL: unseen accuracy=0.6232
[31/500]  Loss_D: -55.5230 Loss_G: -10.4655, Wasserstein_dist:69.7754, vae_loss_seen:723.1742 GZSL: seen=0.8884, unseen=0.6212, h=0.7311 ZSL: unseen accuracy=0.6290
[32/500]  Loss_D: -46.7555 Loss_G: -11.0365, Wasserstein_dist:64.9324, vae_loss_seen:711.3555 GZSL: seen=0.9369, unseen=0.6020, h=0.7330 ZSL: unseen accuracy=0.6078
[33/500]  Loss_D: -45.9920 Loss_G: -10.8847, Wasserstein_dist:60.1673, vae_loss_seen:714.3907 GZSL: seen=0.9386, unseen=0.6010, h=0.7328 ZSL: unseen accuracy=0.6244
[34/500]  Loss_D: -50.2908 Loss_G: -11.3057, Wasserstein_dist:61.7318, vae_loss_seen:696.4733 GZSL: seen=0.9702, unseen=0.5759, h=0.7228 ZSL: unseen accuracy=0.6425
