HYPER-PARAMETERS
[25/500]  Loss_D: -28.2522 Loss_G: -2.4381, Wasserstein_dist:38.0104, vae_loss_seen:388.1294 GZSL: seen=0.7883, unseen=0.4510, h=0.5738 ZSL: unseen accuracy=0.5207
[26/500]  Loss_D: -25.4072 Loss_G: -2.5081, Wasserstein_dist:33.9680, vae_loss_seen:365.5325 GZSL: seen=0.7886, unseen=0.4593, h=0.5805 ZSL: unseen accuracy=0.5054
[27/500]  Loss_D: -28.2068 Loss_G: -2.4588, Wasserstein_dist:36.6841, vae_loss_seen:392.8354 GZSL: seen=0.7880, unseen=0.4704, h=0.5891 ZSL: unseen accuracy=0.5258
[28/500]  Loss_D: -27.1090 Loss_G: -2.8435, Wasserstein_dist:36.1892, vae_loss_seen:393.0608 GZSL: seen=0.7569, unseen=0.4870, h=0.5927 ZSL: unseen accuracy=0.5233
[29/500]  Loss_D: -24.1639 Loss_G: -2.9007, Wasserstein_dist:32.3467, vae_loss_seen:372.6602 GZSL: seen=0.8236, unseen=0.4533, h=0.5848 ZSL: unseen accuracy=0.5109
[30/500]  Loss_D: -26.5643 Loss_G: -3.0705, Wasserstein_dist:34.6166, vae_loss_seen:378.1134 GZSL: seen=0.7864, unseen=0.4651, h=0.5845 ZSL: unseen accuracy=0.5219
[31/500]  Loss_D: -25.9245 Loss_G: -3.3229, Wasserstein_dist:34.2406, vae_loss_seen:363.8796 GZSL: seen=0.7777, unseen=0.4807, h=0.5942 ZSL: unseen accuracy=0.5276
[32/500]  Loss_D: -25.9540 Loss_G: -3.1489, Wasserstein_dist:33.2991, vae_loss_seen:377.3980 GZSL: seen=0.7841, unseen=0.4782, h=0.5941 ZSL: unseen accuracy=0.5206
[33/500]  Loss_D: -25.0074 Loss_G: -3.3682, Wasserstein_dist:33.5853, vae_loss_seen:377.7180 GZSL: seen=0.8288, unseen=0.4823, h=0.6098 ZSL: unseen accuracy=0.5464
[34/500]  Loss_D: -27.3061 Loss_G: -3.4365, Wasserstein_dist:35.0721, vae_loss_seen:377.0248 GZSL: seen=0.8072, unseen=0.4933, h=0.6124 ZSL: unseen accuracy=0.5349
[35/500]  Loss_D: -25.0224 Loss_G: -3.8772, Wasserstein_dist:32.7163, vae_loss_seen:373.5680 GZSL: seen=0.8259, unseen=0.4869, h=0.6126 ZSL: unseen accuracy=0.5461
[36/500]  Loss_D: -24.7242 Loss_G: -3.7339, Wasserstein_dist:32.6613, vae_loss_seen:372.2427 GZSL: seen=0.7834, unseen=0.5011, h=0.6112 ZSL: unseen accuracy=0.5472
[37/500]  Loss_D: -24.2642 Loss_G: -3.6616, Wasserstein_dist:31.9478, vae_loss_seen:368.1076 GZSL: seen=0.8100, unseen=0.4925, h=0.6126 ZSL: unseen accuracy=0.5483
[38/500]  Loss_D: -25.8417 Loss_G: -3.9933, Wasserstein_dist:34.3292, vae_loss_seen:365.2527 GZSL: seen=0.8315, unseen=0.4807, h=0.6092 ZSL: unseen accuracy=0.5531
[39/500]  Loss_D: -23.1685 Loss_G: -4.1274, Wasserstein_dist:31.9974, vae_loss_seen:353.1102 GZSL: seen=0.8332, unseen=0.4920, h=0.6186 ZSL: unseen accuracy=0.5617
