HYPER-PARAMETERS
[25/500]  Loss_D: -27.5438 Loss_G: -2.4245, Wasserstein_dist:37.9841, vae_loss_seen:387.8445 GZSL: seen=0.7898, unseen=0.4553, h=0.5776 ZSL: unseen accuracy=0.5175
[26/500]  Loss_D: -25.4413 Loss_G: -2.4079, Wasserstein_dist:33.9159, vae_loss_seen:366.2337 GZSL: seen=0.7869, unseen=0.4618, h=0.5821 ZSL: unseen accuracy=0.5011
[27/500]  Loss_D: -28.3265 Loss_G: -2.4349, Wasserstein_dist:36.8061, vae_loss_seen:392.6673 GZSL: seen=0.7871, unseen=0.4741, h=0.5917 ZSL: unseen accuracy=0.5229
[28/500]  Loss_D: -28.1428 Loss_G: -2.6778, Wasserstein_dist:36.4808, vae_loss_seen:394.3393 GZSL: seen=0.7522, unseen=0.4868, h=0.5910 ZSL: unseen accuracy=0.5200
[29/500]  Loss_D: -24.5336 Loss_G: -2.8443, Wasserstein_dist:32.6791, vae_loss_seen:372.8597 GZSL: seen=0.8068, unseen=0.4589, h=0.5851 ZSL: unseen accuracy=0.5116
[30/500]  Loss_D: -26.0497 Loss_G: -3.0591, Wasserstein_dist:34.8141, vae_loss_seen:377.7191 GZSL: seen=0.8095, unseen=0.4585, h=0.5855 ZSL: unseen accuracy=0.5220
[31/500]  Loss_D: -26.2568 Loss_G: -3.1747, Wasserstein_dist:34.6550, vae_loss_seen:364.9644 GZSL: seen=0.7821, unseen=0.4762, h=0.5919 ZSL: unseen accuracy=0.5225
[32/500]  Loss_D: -25.3746 Loss_G: -2.9992, Wasserstein_dist:33.3847, vae_loss_seen:378.5364 GZSL: seen=0.7858, unseen=0.4766, h=0.5933 ZSL: unseen accuracy=0.5202
[33/500]  Loss_D: -24.4306 Loss_G: -3.2014, Wasserstein_dist:33.5305, vae_loss_seen:379.0660 GZSL: seen=0.8342, unseen=0.4805, h=0.6098 ZSL: unseen accuracy=0.5466
[34/500]  Loss_D: -26.9550 Loss_G: -3.2649, Wasserstein_dist:35.2092, vae_loss_seen:378.2892 GZSL: seen=0.8100, unseen=0.4881, h=0.6092 ZSL: unseen accuracy=0.5304
[35/500]  Loss_D: -25.3403 Loss_G: -3.5834, Wasserstein_dist:32.9785, vae_loss_seen:375.9661 GZSL: seen=0.8237, unseen=0.4882, h=0.6130 ZSL: unseen accuracy=0.5450
[36/500]  Loss_D: -24.8072 Loss_G: -3.3759, Wasserstein_dist:32.4565, vae_loss_seen:375.4981 GZSL: seen=0.7828, unseen=0.5001, h=0.6103 ZSL: unseen accuracy=0.5462
