HYPER-PARAMETERS
[25/500]  Loss_D: -26.9602 Loss_G: -2.2312, Wasserstein_dist:36.1015, vae_loss_seen:389.6537 GZSL: seen=0.8091, unseen=0.4617, h=0.5879 ZSL: unseen accuracy=0.5105
[26/500]  Loss_D: -26.4376 Loss_G: -2.5257, Wasserstein_dist:35.3428, vae_loss_seen:389.8601 GZSL: seen=0.8125, unseen=0.4547, h=0.5831 ZSL: unseen accuracy=0.5195
[27/500]  Loss_D: -25.3774 Loss_G: -2.7886, Wasserstein_dist:33.9355, vae_loss_seen:389.1249 GZSL: seen=0.7929, unseen=0.4720, h=0.5917 ZSL: unseen accuracy=0.5254
[28/500]  Loss_D: -29.4344 Loss_G: -3.2105, Wasserstein_dist:38.1587, vae_loss_seen:390.6210 GZSL: seen=0.7822, unseen=0.4706, h=0.5876 ZSL: unseen accuracy=0.5259
[29/500]  Loss_D: -27.8440 Loss_G: -3.0002, Wasserstein_dist:36.3105, vae_loss_seen:383.3452 GZSL: seen=0.7500, unseen=0.4841, h=0.5884 ZSL: unseen accuracy=0.5238
[30/500]  Loss_D: -27.9328 Loss_G: -3.1064, Wasserstein_dist:35.7878, vae_loss_seen:366.5709 GZSL: seen=0.8040, unseen=0.4644, h=0.5888 ZSL: unseen accuracy=0.5286
[31/500]  Loss_D: -24.0984 Loss_G: -3.3746, Wasserstein_dist:32.5759, vae_loss_seen:361.8666 GZSL: seen=0.7847, unseen=0.4831, h=0.5980 ZSL: unseen accuracy=0.5269
[32/500]  Loss_D: -28.9531 Loss_G: -3.3250, Wasserstein_dist:36.3384, vae_loss_seen:375.0685 GZSL: seen=0.8365, unseen=0.4685, h=0.6006 ZSL: unseen accuracy=0.5361
[33/500]  Loss_D: -23.9193 Loss_G: -3.3035, Wasserstein_dist:33.3807, vae_loss_seen:362.7123 GZSL: seen=0.7862, unseen=0.5073, h=0.6167 ZSL: unseen accuracy=0.5481
[34/500]  Loss_D: -25.4485 Loss_G: -3.5538, Wasserstein_dist:34.0192, vae_loss_seen:356.1259 GZSL: seen=0.7966, unseen=0.5030, h=0.6167 ZSL: unseen accuracy=0.5440
[35/500]  Loss_D: -26.2217 Loss_G: -3.8466, Wasserstein_dist:36.1643, vae_loss_seen:380.6739 GZSL: seen=0.8249, unseen=0.4801, h=0.6069 ZSL: unseen accuracy=0.5506
[36/500]  Loss_D: -25.1837 Loss_G: -3.9236, Wasserstein_dist:33.3669, vae_loss_seen:370.2670 GZSL: seen=0.7909, unseen=0.4931, h=0.6075 ZSL: unseen accuracy=0.5475
[37/500]  Loss_D: -23.8025 Loss_G: -3.6301, Wasserstein_dist:32.4531, vae_loss_seen:372.4288 GZSL: seen=0.7487, unseen=0.5232, h=0.6160 ZSL: unseen accuracy=0.5479
[38/500]  Loss_D: -24.7315 Loss_G: -3.8919, Wasserstein_dist:33.6789, vae_loss_seen:378.8342 GZSL: seen=0.7945, unseen=0.5087, h=0.6203 ZSL: unseen accuracy=0.5635
[39/500]  Loss_D: -23.2557 Loss_G: -3.8836, Wasserstein_dist:32.4214, vae_loss_seen:360.7637 GZSL: seen=0.8167, unseen=0.5020, h=0.6218 ZSL: unseen accuracy=0.5563
[40/500]  Loss_D: -26.7498 Loss_G: -4.0464, Wasserstein_dist:36.2496, vae_loss_seen:377.0594 GZSL: seen=0.8407, unseen=0.4923, h=0.6210 ZSL: unseen accuracy=0.5591
[41/500]  Loss_D: -27.5877 Loss_G: -4.1130, Wasserstein_dist:36.3273, vae_loss_seen:369.8338 GZSL: seen=0.8127, unseen=0.5026, h=0.6211 ZSL: unseen accuracy=0.5628
